cmd logfilename ps_name
u0_a198   4250  373   1854440 94672 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:42:51.101  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.101  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.101  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.111  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.111  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.121  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.131  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.171  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.171  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.171  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.171  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.171  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.181  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.191  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.191  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.241  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.241  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.241  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.241  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.241  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.251  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.251  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.261  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.291  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.291  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.291  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.291  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.301  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.301  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.321  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.331  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.361  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.361  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.361  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.361  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.361  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.371  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.371  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.381  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.401  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.401  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.401  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.401  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.411  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.411  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.411  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.421  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.451  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.451  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.451  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.451  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.461  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.461  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.461  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.471  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.501  4250 16323 D backLeftPower: : 0.0
