cmd logfilename ps_name
u0_a198   4250  373   1845412 94128 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 17:30:08.961  4250 22877 D frontLeftVelocity: : 1700.0
03-08 17:30:08.961  4250 22877 D frontRightVelocity: : 1660.0
03-08 17:30:09.021  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.021  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.031  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.031  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.041  4250 22877 D backLeftVelocity: : 1660.0
03-08 17:30:09.041  4250 22877 D backRightVelocity: : 1700.0
03-08 17:30:09.051  4250 22877 D frontLeftVelocity: : 1680.0
03-08 17:30:09.061  4250 22877 D frontRightVelocity: : 1640.0
03-08 17:30:09.091  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.091  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.091  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.091  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.091  4250 22877 D backLeftVelocity: : 1680.0
03-08 17:30:09.091  4250 22877 D backRightVelocity: : 1700.0
03-08 17:30:09.101  4250 22877 D frontLeftVelocity: : 1700.0
03-08 17:30:09.101  4250 22877 D frontRightVelocity: : 1720.0
03-08 17:30:09.121  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.121  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.121  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.121  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.131  4250 22877 D backLeftVelocity: : 1740.0
03-08 17:30:09.131  4250 22877 D backRightVelocity: : 1700.0
03-08 17:30:09.141  4250 22877 D frontLeftVelocity: : 1720.0
03-08 17:30:09.141  4250 22877 D frontRightVelocity: : 1720.0
03-08 17:30:09.171  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.171  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.171  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.171  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.181  4250 22877 D backLeftVelocity: : 1740.0
03-08 17:30:09.191  4250 22877 D backRightVelocity: : 1700.0
03-08 17:30:09.191  4250 22877 D frontLeftVelocity: : 1720.0
03-08 17:30:09.201  4250 22877 D frontRightVelocity: : 1660.0
03-08 17:30:09.231  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.231  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.231  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.231  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.241  4250 22877 D backLeftVelocity: : 1700.0
03-08 17:30:09.251  4250 22877 D backRightVelocity: : 1740.0
03-08 17:30:09.251  4250 22877 D frontLeftVelocity: : 1720.0
03-08 17:30:09.251  4250 22877 D frontRightVelocity: : 1660.0
03-08 17:30:09.281  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.281  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.281  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.281  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.281  4250 22877 D backLeftVelocity: : 1720.0
03-08 17:30:09.291  4250 22877 D backRightVelocity: : 1740.0
03-08 17:30:09.291  4250 22877 D frontLeftVelocity: : 1740.0
03-08 17:30:09.301  4250 22877 D frontRightVelocity: : 1700.0
03-08 17:30:09.331  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.331  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.331  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.331  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.331  4250 22877 D backLeftVelocity: : 1720.0
03-08 17:30:09.341  4250 22877 D backRightVelocity: : 1700.0
03-08 17:30:09.341  4250 22877 D frontLeftVelocity: : 1720.0
03-08 17:30:09.351  4250 22877 D frontRightVelocity: : 1740.0
03-08 17:30:09.401  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.401  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.401  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.401  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.401  4250 22877 D backLeftVelocity: : 1760.0
03-08 17:30:09.411  4250 22877 D backRightVelocity: : 1720.0
03-08 17:30:09.411  4250 22877 D frontLeftVelocity: : 1740.0
03-08 17:30:09.421  4250 22877 D frontRightVelocity: : 1720.0
03-08 17:30:09.461  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.461  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.461  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.461  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.471  4250 22877 D backLeftVelocity: : 1700.0
03-08 17:30:09.471  4250 22877 D backRightVelocity: : 1720.0
03-08 17:30:09.491  4250 22877 D frontLeftVelocity: : 1720.0
03-08 17:30:09.491  4250 22877 D frontRightVelocity: : 1660.0
03-08 17:30:09.551  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.551  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.561  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.561  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.561  4250 22877 D backLeftVelocity: : 1760.0
03-08 17:30:09.571  4250 22877 D backRightVelocity: : 1720.0
03-08 17:30:09.571  4250 22877 D frontLeftVelocity: : 1740.0
03-08 17:30:09.581  4250 22877 D frontRightVelocity: : 1720.0
03-08 17:30:09.611  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.611  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.611  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.611  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.611  4250 22877 D backLeftVelocity: : 1740.0
03-08 17:30:09.621  4250 22877 D backRightVelocity: : 1700.0
03-08 17:30:09.621  4250 22877 D frontLeftVelocity: : 1720.0
03-08 17:30:09.631  4250 22877 D frontRightVelocity: : 1700.0
03-08 17:30:09.651  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.651  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.651  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.651  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.661  4250 22877 D backLeftVelocity: : 1700.0
03-08 17:30:09.661  4250 22877 D backRightVelocity: : 1760.0
03-08 17:30:09.671  4250 22877 D frontLeftVelocity: : 1700.0
03-08 17:30:09.671  4250 22877 D frontRightVelocity: : 1700.0
03-08 17:30:09.691  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:09.691  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:09.691  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:09.701  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:09.701  4250 22877 D backLeftVelocity: : 1720.0
03-08 17:30:09.701  4250 22877 D backRightVelocity: : 1760.0
03-08 17:30:09.711  4250 22877 D frontLeftVelocity: : 1720.0
03-08 17:30:09.711  4250 22877 D frontRightVelocity: : 1720.0
03-08 17:30:09.761  4250 22877 D backLeftPower: : 0.31181138363575117
03-08 17:30:09.761  4250 22877 D backRightPower: : 0.3118113836357511
03-08 17:30:09.761  4250 22877 D frontLeftPower: : 0.3118113836357511
03-08 17:30:09.761  4250 22877 D frontRightPower: : 0.31181138363575117
03-08 17:30:09.771  4250 22877 D backLeftVelocity: : 1720.0
03-08 17:30:09.771  4250 22877 D backRightVelocity: : 1740.0
03-08 17:30:09.781  4250 22877 D frontLeftVelocity: : 1740.0
03-08 17:30:09.791  4250 22877 D frontRightVelocity: : 1740.0
03-08 17:30:09.841  4250 22877 D backLeftPower: : 0.0
03-08 17:30:09.841  4250 22877 D backRightPower: : 0.0
03-08 17:30:09.841  4250 22877 D frontLeftPower: : 0.0
03-08 17:30:09.841  4250 22877 D frontRightPower: : 0.0
03-08 17:30:09.841  4250 22877 D backLeftVelocity: : 1560.0
03-08 17:30:09.851  4250 22877 D backRightVelocity: : 1380.0
03-08 17:30:09.851  4250 22877 D frontLeftVelocity: : 1240.0
03-08 17:30:09.861  4250 22877 D frontRightVelocity: : 1060.0
03-08 17:30:09.911  4250 22877 D backLeftPower: : 0.0
03-08 17:30:09.911  4250 22877 D backRightPower: : 0.0
03-08 17:30:09.911  4250 22877 D frontLeftPower: : 0.0
03-08 17:30:09.911  4250 22877 D frontRightPower: : 0.0
03-08 17:30:09.921  4250 22877 D backLeftVelocity: : 1200.0
03-08 17:30:09.921  4250 22877 D backRightVelocity: : 600.0
03-08 17:30:09.931  4250 22877 D frontLeftVelocity: : 1140.0
