cmd logfilename ps_name
u0_a198   4250  373   1845928 89108 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:36:42.341  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.351  4250 15854 D backLeftVelocity: : 1720.0
03-08 16:36:42.361  4250 15854 D backRightVelocity: : 1760.0
03-08 16:36:42.361  4250 15854 D frontLeftVelocity: : 1740.0
03-08 16:36:42.371  4250 15854 D frontRightVelocity: : 1780.0
03-08 16:36:42.421  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.421  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.421  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.421  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.431  4250 15854 D backLeftVelocity: : 1780.0
03-08 16:36:42.431  4250 15854 D backRightVelocity: : 1780.0
03-08 16:36:42.451  4250 15854 D frontLeftVelocity: : 1780.0
03-08 16:36:42.451  4250 15854 D frontRightVelocity: : 1740.0
03-08 16:36:42.481  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.481  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.491  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.491  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.491  4250 15854 D backLeftVelocity: : 1740.0
03-08 16:36:42.501  4250 15854 D backRightVelocity: : 1760.0
03-08 16:36:42.501  4250 15854 D frontLeftVelocity: : 1760.0
03-08 16:36:42.511  4250 15854 D frontRightVelocity: : 1700.0
03-08 16:36:42.541  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.541  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.541  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.551  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.551  4250 15854 D backLeftVelocity: : 1760.0
03-08 16:36:42.551  4250 15854 D backRightVelocity: : 1760.0
03-08 16:36:42.561  4250 15854 D frontLeftVelocity: : 1780.0
03-08 16:36:42.571  4250 15854 D frontRightVelocity: : 1760.0
03-08 16:36:42.611  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.611  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.611  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.611  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.611  4250 15854 D backLeftVelocity: : 1780.0
03-08 16:36:42.621  4250 15854 D backRightVelocity: : 1720.0
03-08 16:36:42.631  4250 15854 D frontLeftVelocity: : 1740.0
03-08 16:36:42.641  4250 15854 D frontRightVelocity: : 1760.0
03-08 16:36:42.681  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.691  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.691  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.691  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.691  4250 15854 D backLeftVelocity: : 1780.0
03-08 16:36:42.701  4250 15854 D backRightVelocity: : 1800.0
03-08 16:36:42.701  4250 15854 D frontLeftVelocity: : 1800.0
03-08 16:36:42.711  4250 15854 D frontRightVelocity: : 1740.0
03-08 16:36:42.751  4250 15854 D backLeftPower: : 0.0
03-08 16:36:42.751  4250 15854 D backRightPower: : 0.0
03-08 16:36:42.751  4250 15854 D frontLeftPower: : 0.0
03-08 16:36:42.751  4250 15854 D frontRightPower: : 0.0
03-08 16:36:42.751  4250 15854 D backLeftVelocity: : 1740.0
03-08 16:36:42.761  4250 15854 D backRightVelocity: : 1760.0
03-08 16:36:42.761  4250 15854 D frontLeftVelocity: : 1760.0
03-08 16:36:42.771  4250 15854 D frontRightVelocity: : 1760.0
03-08 16:36:42.791  4250 15854 D backLeftPower: : 0.0
03-08 16:36:42.791  4250 15854 D backRightPower: : 0.0
03-08 16:36:42.791  4250 15854 D frontLeftPower: : 0.0
03-08 16:36:42.791  4250 15854 D frontRightPower: : 0.0
03-08 16:36:42.791  4250 15854 D backLeftVelocity: : 1760.0
03-08 16:36:42.791  4250 15854 D backRightVelocity: : 1720.0
03-08 16:36:42.801  4250 15854 D frontLeftVelocity: : 1660.0
03-08 16:36:42.801  4250 15854 D frontRightVelocity: : 1660.0
03-08 16:36:42.831  4250 15854 D backLeftPower: : 0.0
03-08 16:36:42.831  4250 15854 D backRightPower: : 0.0
03-08 16:36:42.831  4250 15854 D frontLeftPower: : 0.0
03-08 16:36:42.831  4250 15854 D frontRightPower: : 0.0
03-08 16:36:42.841  4250 15854 D backLeftVelocity: : 800.0
03-08 16:36:42.841  4250 15854 D backRightVelocity: : 760.0
